#Name, Date, RaDeg, DecDeg, AlertMag, HistoricMag, HistoricStdDev, Class, Published, Comment
Gaia16aub,2016-07-10 11:31:19,358.73618,-34.60232,18.38,,,"unknown",2016-07-12 09:52:31,"candidate supernova at the edge of nearby galaxy ESO 349- G 005 (z=0.053)"
Gaia16aua,2016-07-06 05:03:21,213.19494,-59.56120,19.02,20.11,0.05,"unknown",2016-07-12 09:50:04,"candidate microlensing event in the Galactic Plane"
Gaia16atz,2016-07-07 17:29:32,198.53933,-34.09248,18.92,,,"unknown",2016-07-11 18:05:04,"candidate SN in outskirts of galaxy ESO 382- G 020 "
Gaia16aty,2016-07-10 06:29:05,181.73996,27.30114,18.12,,,"SN Ib",2016-07-11 18:02:07,"confirmed SN Ibn 2 arcsec south of galaxy SDSS J120657.56+271806.0"
Gaia16atx,2016-07-08 11:37:53,197.22489,-25.49572,18.45,,,"unknown",2016-07-11 17:58:57,"candidate SN offset from GALEXASC J130853.64-252941.2"
Gaia16atw,2016-07-08 08:07:52,31.49925,47.73721,18.40,,,"unknown",2016-07-11 17:56:12,"candidate SN close to galaxy 2MASX J02055960+4744110 "
Gaia16atv,2016-07-08 17:47:25,194.24545,-15.53625,16.76,,,"unknown",2016-07-11 17:54:15,"confirmed SN Ia discovered as ASASSN-16fn"
Gaia16atu,2016-07-07 17:40:42,192.51434,-22.79232,18.26,,,"unknown",2016-07-11 17:51:45,"candidate CV"
Gaia16att,2016-07-05 00:16:02,168.52406,14.23487,18.63,,,"unknown",2016-07-10 22:15:50,"candidate SN close to galaxy 2MASX J11140572+1414057 "
Gaia16ats,2016-07-04 23:41:27,179.89148,-22.24418,18.83,,,"unknown",2016-07-10 22:12:44,"candidate SN close to galaxy 2MASX J11593408-2214399 "
Gaia16atr,2016-07-04 22:37:25,273.98996,-72.67715,15.81,,,"unknown",2016-07-10 22:08:15,"candidate bright CV or hostless SN"
Gaia16atq,2016-07-07 11:56:14,332.63025,-53.88912,18.40,,,"unknown",2016-07-10 22:02:05,"candidate SN, hostless, GSTEC predict SN Ia"
Gaia16atp,2016-07-07 04:45:10,257.01973,-69.38927,17.25,,,"unknown",2016-07-10 22:00:28,"transient source in Gaia, faint DSS2 source underneath"
Gaia16ato,2016-07-07 12:33:55,169.82850,31.91597,18.58,,,"unknown",2016-07-10 21:58:57,"candidate SN near SDSS J111918.34+315452.1 GSTEC predicts SN Ia"
Gaia16atn,2016-07-06 18:39:01,164.33583,36.80703,18.45,,,"unknown",2016-07-10 21:25:43,"candidate SN near SDSS J105720.66+364821.9 GSTEC predicts SN 2n"
Gaia16atm,2016-07-07 05:52:38,185.24897,-10.45982,17.63,19.65,0.26,"CV",2016-07-10 21:22:31,"known CV CSS080324 J122100-102735 in outburst"
Gaia16atl,2016-07-07 01:16:34,123.08897,66.72280,19.15,,,"unknown",2016-07-10 21:20:31,"candidate SN near GALEXASC J081220.14+664325.8. GSTEC predicts SN Ia"
Gaia16atk,2016-07-05 16:46:39,357.78727,6.60754,18.66,,,"unknown",2016-07-10 18:44:13,"candidate SN near GALEXASC J235109.49+063629.9"
Gaia16atj,2016-07-04 23:25:32,186.77245,-38.98013,18.89,,,"unknown",2016-07-10 18:24:59,"SN candidate near centre of faint smudge in DSS2. GSTEC predicts SN Ia"
Gaia16ati,2016-07-05 11:47:58,179.69661,-15.35321,18.97,,,"unknown",2016-07-10 18:20:16,"candidate SN near galaxy 2MASX J11584704-1521077 "
Gaia16ath,2016-07-04 20:48:29,357.37723,17.36632,18.94,,,"unknown",2016-07-10 17:39:10,"candidate SN near galaxy 2MASX J23493092+1722083   GSTEC predicts SN Ia"
Gaia16atg,2016-07-04 12:10:27,168.08982,8.48410,18.28,,,"unknown",2016-07-10 17:35:51,"candidate SN near galaxy SDSS J111221.53+082903.1 GSTEC predicts SN Ia"
Gaia16atf,2016-07-02 17:20:09,338.95451,-22.44254,18.72,,,"unknown",2016-07-10 17:32:45,"candidate SN near galaxy APMUKS(BJ) B223305.45-224208.7"
Gaia16ate,2016-06-17 22:23:48,46.08207,-57.58386,18.14,,,"unknown",2016-07-09 09:56:54,"candidate SN near galaxy GALEXASC J030419.44-573459.6"
Gaia16atd,2016-06-23 04:00:11,335.26955,-55.91404,18.10,,,"unknown",2016-07-09 09:53:30,"candidate SN near galaxy APMUKS(BJ) B221748.71-560957.7"
Gaia16atc,2016-06-23 05:23:14,128.45988,-29.46372,17.85,,,"unknown",2016-07-09 09:46:12,"candidate CV"
Gaia16atb,2016-06-24 07:21:47,203.60325,79.88406,18.63,,,"unknown",2016-07-04 14:47:02,"candidate SN at 1 arcmin from galaxy 2MASX J13344750+7952434"
Gaia16ata,2016-06-24 09:59:23,330.74297,-54.23690,18.78,,,"unknown",2016-07-04 14:42:29,"candidate SN near galaxy 2MASX J22025931-5414056"
Gaia16asz,2016-06-23 15:51:48,329.07345,-47.19161,18.37,,,"unknown",2016-07-04 14:38:29,"candidate SN close to galaxy 2dFGRS S925Z565"
Gaia16asy,2016-06-23 03:50:55,329.78963,-46.70938,17.03,,,"unknown",2016-07-04 14:34:40,"candidate SN close to 2MASX J21590962-4642422"
Gaia16asx,2016-06-08 07:31:47,138.51046,-4.47021,18.81,,,"unknown",2016-07-04 14:30:06,"candidate SN close to GALEXASC J091402.90-042825.8"
Gaia16asw,2016-06-24 04:29:15,35.39400,-80.37657,18.60,,,"unknown",2016-07-04 14:23:23,"candidate SN near galaxy 2MASX J02213290-8022479"
Gaia16asv,2016-06-24 03:57:46,331.05182,-52.75077,18.30,,,"unknown",2016-07-04 14:18:14,"candidate SN near galaxy 2MASX J22041191-5245130"
Gaia16asu,2016-06-24 08:44:40,156.04833,62.51719,18.61,,,"unknown",2016-07-04 12:13:50,"Candidate supernova near galaxy 2MASX J10241241+6230556"
Gaia16ast,2016-05-27 00:50:37,107.86867,-56.50828,18.37,,,"unknown",2016-07-04 09:42:31,"candidate supernova near GALEXASC J071128.83-563024.9"
Gaia16ass,2016-06-22 00:54:03,162.31726,58.34446,18.89,,,"unknown",2016-07-04 06:27:25,"candidate supernova in outskirts of galaxy UGC 05919, z=0.028"
Gaia16asr,2016-06-21 07:05:50,182.02823,65.17718,13.91,,,"SN Ia",2016-07-04 06:13:01,"known bright SN Ia in  in the nearby galaxy NGC 4125 (z=0.00448)"
Gaia16asq,2016-06-21 07:17:39,207.64075,70.06864,18.64,,,"unknown",2016-07-03 21:41:28,"candidate supernova near GALEXASC J135032.99+700410.3"
Gaia16asp,2016-06-20 17:07:15,112.00423,-39.19413,17.45,15.85,0.04,"unknown",2016-07-03 21:38:53,"candidate R CrB. 2 mag dip in a blue star, CRTS lightcurve shows similar dips in the past"
Gaia16aso,2016-06-21 14:43:55,167.68090,60.55772,18.82,,,"unknown",2016-07-03 21:30:16,"candidate supernova near galaxy SDSS J111042.77+603328.4 at z=0.08"
Gaia16asn,2016-06-20 16:34:44,68.75245,-65.56027,18.21,,,"unknown",2016-07-03 21:20:30,"candidate supernova near galaxy 2MASX J04350039-6533244, z=0.04"
Gaia16asm,2016-06-19 20:37:39,300.53043,17.78047,15.74,14.61,0.02,"unknown",2016-07-02 22:01:07,"almost 2 mag dip in star"
Gaia16asl,2016-06-14 16:21:35,47.10129,-44.31603,16.03,,,"unknown",2016-07-02 21:51:33,"hostless bright blue transient"
Gaia16ask,2016-06-18 00:43:34,166.40403,46.17800,17.93,,,"unknown",2016-07-02 18:27:51,"candidate supernova at edge of galaxy MCG+08-20-084, z=0.025"
Gaia16asj,2016-06-17 00:34:56,161.03549,39.41923,18.23,,,"unknown",2016-07-02 18:25:04,""
Gaia16asi,2016-06-16 11:00:56,96.78115,-31.07105,18.48,,,"unknown",2016-07-02 18:22:51,"candidate CV"
Gaia16ash,2016-06-16 19:07:49,200.78005,52.64904,18.45,,,"unknown",2016-07-02 18:20:10,""
Gaia16asg,2016-06-16 13:44:23,252.03815,46.08998,17.94,,,"SN II",2016-07-02 18:17:22,"candidate supernova offset from galaxy SDSS J164809.31+460525.1"
